Mix_ID,Cement_kg_m3,Fly_Ash_kg_m3,Silica_Fume_kg_m3,Metakaolin_kg_m3,GGBS_kg_m3,RHA_kg_m3,POFA_kg_m3,Fine_Sand_kg_m3,Water_kg_m3,Extra_Water_kg_m3,Water_Binder_Ratio,Na2SiO3_Content_kg_m3,NaOH_Content_kg_m3,KOH_Content_kg_m3,Activator_Molarity_M,Superplasticizer_kg_m3,Polypropylene_Fiber_Content_%,PP_Fiber_kg_m3,Fiber_Length_mm,Compressive_Strength_MPa,Flexural_Strength_MPa,Tensile_Strength_MPa,Elastic_Modulus_GPa,Interlayer_Bond_Strength_MPa,RCPT,Water_Absorption_%,Sorptivity,Gas_Permeability,Chloride_Penetration,Acid_Attack_Loss_%,Sulphate_Resistance_%,Printing_Speed_mm_s,Layer_Height_mm,Nozzle_Diameter_mm,Build_Direction,Print_Orientation,Anisotropy_Index,Density_kg_m3,Porosity_%,SEM_Results,XRD_Results,FTIR_Results,Curing_Temperature_C,Curing_Duration_days,Heat_Curing_Conditions,Curing_Method,Dataset_Distribution,Validation_Dataset,Testing_Dataset,Statistical_Normalization,Missing_Data_Handled,Feature_Selection_Method
AWF-PP0.75,60,220,70,100,200,0,0,1220,186,10,0.28,110.0,40.0,0.0,12.0,8.2,0.75,7.5,15.0,70.5,11.8,7.1,43.5,7.3,910,2.3,0.06,5.7×10⁻18,Negligible,1.2,99,24.0,12.0,20,Vertical,Parallel,1.1,2380,2.7,Compact matrix with refined pore structure and strong layer bonding,Strong hybrid hydration phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
AWF-PP1.00,40,200,90,100,220,0,0,1220,182,10,0.27,108.0,38.0,0.0,14.0,8.8,1.0,10.0,18.0,84.8,15.0,9.0,52.0,9.6,650,1.6,0.04,3.8×10⁻18,Negligible,0.5,100,26.0,14.0,18,Vertical,Parallel,1.07,2465,1.9,Dense microstructure with excellent fiber anchorage and minimal voids,Strong amorphous gel structure,Highly stable silica-rich gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
AWF-RHA10,40,180,70,100,200,80,0,1220,184,10,0.27,108.0,38.0,0.0,14.0,8.5,0.8,8.0,15.0,80.6,14.2,8.4,49.0,8.8,740,1.8,0.04,4.2×10⁻18,Negligible,0.7,99,24.0,12.0,18,Vertical,Parallel,1.08,2430,2.1,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
AWF-POFA10,40,180,70,100,200,0,80,1220,185,10,0.27,108.0,38.0,0.0,14.0,8.5,0.8,8.0,15.0,79.8,14.0,8.2,48.5,8.6,770,1.9,0.05,4.4×10⁻18,Negligible,0.8,99,24.0,12.0,18,Vertical,Parallel,1.09,2422,2.2,Secondary gel products improved matrix densification,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
CFGC-CON,80,280,30,120,160,0,0,1200,202,8,0.32,115.0,44.0,0.0,10.0,6.8,0.0,0.0,,38.5,5.2,3.1,23.6,2.4,1980,5.2,0.17,1.55×10⁻17,Moderate,5.2,90,18.0,10.0,22,Vertical,Parallel,1.19,2170,5.4,Weak geopolymer matrix with visible pores and microcracks,Dominant geopolymer gel phases,Moderate aluminosilicate bonding,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CFGC-PP0.25,60,280,30,120,180,0,0,1200,198,8,0.31,115.0,44.0,0.0,10.0,7.2,0.25,2.5,10.0,49.8,7.4,4.5,30.5,3.8,1580,4.0,0.13,1.10×10⁻17,Low,3.5,94,20.0,10.0,22,Vertical,Parallel,1.16,2245,4.3,Coconut fibers improved crack bridging and matrix cohesion,Increased amorphous hydration phases,Enhanced silica polymerization,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
CFGC-PP0.50,40,260,50,120,200,0,0,1200,194,10,0.3,113.0,42.0,0.0,12.0,7.8,0.5,5.0,15.0,63.2,10.1,6.2,39.0,5.6,1180,3.0,0.09,7.5×10⁻18,Very Low,2.0,97,22.0,12.0,20,Vertical,Parallel,1.13,2330,3.3,Reduced pore connectivity with improved fiber dispersion,Reduced crystalline phases,Dense geopolymeric gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
CFGC-PP0.75,20,240,70,120,220,0,0,1200,190,10,0.29,113.0,42.0,0.0,12.0,8.4,0.75,7.5,20.0,77.6,13.2,8.0,47.8,7.8,820,2.1,0.06,5.0×10⁻18,Negligible,0.9,99,24.0,12.0,20,Vertical,Parallel,1.1,2415,2.4,Compact matrix with refined pore structure and enhanced fiber anchorage,Strong hybrid hydration phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
CFGC-PP1.00,0,220,90,120,240,0,0,1200,186,10,0.28,110.0,40.0,0.0,14.0,9.0,1.0,10.0,25.0,92.4,16.8,10.0,57.0,10.2,590,1.4,0.03,3.3×10⁻18,Negligible,0.4,100,26.0,14.0,18,Vertical,Parallel,1.07,2505,1.7,Dense microstructure with excellent fiber–matrix interaction and minimal voids,Strong amorphous gel structure,Highly stable silica-rich gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
CFGC-RHA10,0,200,70,120,220,80,0,1200,188,10,0.28,110.0,40.0,0.0,14.0,8.7,0.8,8.0,20.0,87.5,15.9,9.3,53.6,9.4,670,1.6,0.04,3.7×10⁻18,Negligible,0.6,99,24.0,12.0,18,Vertical,Parallel,1.08,2470,1.9,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
CFGC-POFA10,0,200,70,120,220,0,80,1200,189,10,0.28,110.0,40.0,0.0,14.0,8.7,0.8,8.0,20.0,86.8,15.6,9.1,53.0,9.2,700,1.7,0.04,3.9×10⁻18,Negligible,0.7,99,24.0,12.0,18,Vertical,Parallel,1.09,2462,2.0,Secondary gel products improved matrix densification,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
SFRM-CON,120,220,20,80,120,0,0,1280,205,8,0.34,108.0,40.0,0.0,10.0,6.5,0.0,0.0,,32.6,4.4,2.6,20.2,2.0,2280,6.0,0.2,1.82×10⁻17,Moderate,6.0,88,18.0,10.0,22,Vertical,Parallel,1.2,2125,6.2,Weak mortar matrix with visible pores and interlayer microcracks,Dominant cement hydration phases,Moderate aluminosilicate bonding,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
SFRM-PP0.25,100,220,20,80,140,0,0,1280,200,8,0.33,108.0,40.0,0.0,10.0,7.0,0.25,2.5,10.0,42.8,6.5,3.9,26.8,3.4,1820,4.8,0.15,1.30×10⁻17,Low,4.2,92,20.0,10.0,22,Vertical,Parallel,1.16,2200,4.9,Sisal fibers improved crack bridging and matrix cohesion,Increased amorphous phases,Enhanced silica polymerization,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
SFRM-PP0.50,80,200,40,80,160,0,0,1280,196,10,0.32,106.0,38.0,0.0,12.0,7.6,0.5,5.0,15.0,55.4,9.0,5.5,34.5,5.1,1360,3.5,0.11,8.8×10⁻18,Very Low,2.5,96,22.0,12.0,20,Vertical,Parallel,1.13,2285,3.7,Reduced pore connectivity and improved fiber distribution,Reduced crystalline phases,Dense geopolymeric gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
SFRM-PP0.75,60,180,60,80,180,0,0,1280,192,10,0.31,106.0,38.0,0.0,12.0,8.2,0.75,7.5,20.0,68.8,12.0,7.2,42.8,7.2,960,2.4,0.07,5.8×10⁻18,Negligible,1.2,99,24.0,12.0,20,Vertical,Parallel,1.1,2370,2.8,Compact matrix with refined pore structure and strong fiber anchorage,Strong hybrid hydration phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
SFRM-PP1.00,40,160,80,80,200,0,0,1280,188,10,0.3,104.0,36.0,0.0,14.0,8.8,1.0,10.0,25.0,82.5,15.2,9.1,51.0,9.4,690,1.6,0.04,3.9×10⁻18,Negligible,0.5,100,26.0,14.0,18,Vertical,Parallel,1.07,2455,2.0,Dense microstructure with excellent fiber–matrix interaction and minimal voids,Strong amorphous gel structure,Highly stable silica-rich gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
SFRM-RHA10,40,140,60,80,180,80,0,1280,190,10,0.3,104.0,36.0,0.0,14.0,8.5,0.8,8.0,20.0,78.4,14.4,8.5,48.2,8.7,770,1.8,0.05,4.2×10⁻18,Negligible,0.7,99,24.0,12.0,18,Vertical,Parallel,1.08,2420,2.2,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
SFRM-POFA10,40,140,60,80,180,0,80,1280,191,10,0.3,104.0,36.0,0.0,14.0,8.5,0.8,8.0,20.0,77.8,14.1,8.3,47.8,8.5,790,1.9,0.05,4.4×10⁻18,Negligible,0.8,99,24.0,12.0,18,Vertical,Parallel,1.09,2412,2.3,Secondary gel products improved matrix densification,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
SMG-CON,0,220,20,220,120,0,0,1260,198,8,0.3,118.0,42.0,0.0,10.0,6.8,0.0,0.0,,42.5,5.8,3.5,26.2,2.8,1820,4.8,0.15,1.35×10⁻17,Low,4.5,92,18.0,10.0,22,Vertical,Parallel,1.18,2210,4.9,Dense geopolymer matrix with moderate interlayer pores,Strong amorphous geopolymer gel phases,Stable aluminosilicate bonding,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
SMG-PP0.25,0,200,20,220,140,0,0,1260,194,8,0.29,118.0,42.0,0.0,10.0,7.2,0.25,2.5,10.0,54.2,7.9,4.9,33.5,4.2,1420,3.7,0.11,9.8×10⁻18,Very Low,3.0,95,20.0,10.0,22,Vertical,Parallel,1.15,2288,3.9,Improved crack bridging and matrix densification,Increased slag hydration phases,Enhanced silica polymerization,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
SMG-PP0.50,0,180,40,220,160,0,0,1260,190,10,0.28,116.0,40.0,0.0,12.0,7.8,0.5,5.0,12.0,67.8,10.8,6.6,41.8,6.0,1040,2.8,0.08,6.8×10⁻18,Very Low,1.8,98,22.0,12.0,20,Vertical,Parallel,1.12,2372,3.0,Reduced pore connectivity with uniform fiber dispersion,Reduced crystalline phases,Dense geopolymeric gel network,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
SMG-PP0.75,0,160,60,220,180,0,0,1260,186,10,0.27,116.0,40.0,0.0,12.0,8.4,0.75,7.5,15.0,81.5,13.9,8.4,50.2,8.1,720,1.9,0.05,4.5×10⁻18,Negligible,0.9,99,24.0,12.0,20,Vertical,Parallel,1.09,2458,2.2,Compact matrix with refined pore structure,Strong hybrid C-A-S-H and N-A-S-H gel phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
SMG-PP1.00,0,140,80,220,200,0,0,1260,182,10,0.26,114.0,38.0,0.0,14.0,9.0,1.0,10.0,18.0,95.6,17.5,10.5,59.6,10.5,510,1.2,0.03,3.0×10⁻18,Negligible,0.3,100,26.0,14.0,18,Vertical,Parallel,1.06,2545,1.5,Highly dense microstructure with minimal voids,Strong amorphous gel structure,Stable silica-rich geopolymer gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
SMG-RHA10,0,120,60,220,180,80,0,1260,184,10,0.26,114.0,38.0,0.0,14.0,8.8,0.8,8.0,15.0,91.8,16.6,9.8,56.0,9.8,590,1.4,0.03,3.4×10⁻18,Negligible,0.5,100,24.0,12.0,18,Vertical,Parallel,1.07,2515,1.7,Fine RHA particles improved nanopore refinement,Enhanced amorphous silica hump,Dense silica-rich gel formation,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
SMG-POFA10,0,120,60,220,180,0,80,1260,185,10,0.26,114.0,38.0,0.0,14.0,8.8,0.8,8.0,15.0,90.9,16.3,9.6,55.5,9.6,610,1.5,0.04,3.6×10⁻18,Negligible,0.6,99,24.0,12.0,18,Vertical,Parallel,1.08,2508,1.8,Secondary reaction products improved matrix densification,Increased geopolymer hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
STSC-CON,180,120,20,60,220,0,0,1240,206,8,0.33,105.0,38.0,0.0,10.0,6.2,0.0,0.0,,40.2,5.5,3.3,24.5,2.6,1920,5.0,0.16,1.42×10⁻17,Moderate,4.8,91,20.0,12.0,25,Vertical,Parallel,1.2,2190,5.2,Moderate interlayer pores with incomplete slag hydration,Dominant slag hydration phases,Moderate aluminosilicate bonding,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
STSC-PP0.25,160,120,20,60,240,0,0,1240,202,8,0.32,105.0,38.0,0.0,10.0,6.8,0.25,2.5,10.0,51.8,7.6,4.7,31.8,4.0,1500,3.9,0.12,1.02×10⁻17,Low,3.2,95,22.0,12.0,25,Vertical,Parallel,1.16,2270,4.1,Improved matrix densification and reduced voids,Increased amorphous geopolymer phases,Enhanced silica polymerization,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
STSC-PP0.50,140,100,40,60,260,0,0,1240,198,10,0.31,103.0,36.0,0.0,12.0,7.4,0.5,5.0,12.0,65.6,10.4,6.3,40.4,5.8,1110,2.9,0.08,7.0×10⁻18,Very Low,1.9,98,24.0,14.0,22,Vertical,Parallel,1.13,2358,3.1,Reduced pore connectivity with better fiber dispersion,Reduced crystalline phases,Dense geopolymeric gel network,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
STSC-PP0.75,120,80,60,60,280,0,0,1240,194,10,0.3,103.0,36.0,0.0,12.0,8.0,0.75,7.5,15.0,79.4,13.5,8.1,48.9,7.9,760,2.0,0.05,4.7×10⁻18,Negligible,0.9,99,26.0,14.0,22,Vertical,Parallel,1.1,2445,2.3,Compact matrix with refined interfacial transition zone,Strong C-A-S-H and N-A-S-H gel phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
STSC-PP1.00,100,60,80,60,300,0,0,1240,190,10,0.29,100.0,34.0,0.0,14.0,8.6,1.0,10.0,18.0,93.8,17.0,10.2,58.0,10.3,540,1.3,0.03,3.1×10⁻18,Negligible,0.3,100,28.0,16.0,20,Vertical,Parallel,1.07,2532,1.6,Highly dense microstructure with minimal voids,Strong amorphous gel structure,Stable silica-rich geopolymer gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
STSC-RHA10,100,40,60,60,280,80,0,1240,192,10,0.29,100.0,34.0,0.0,14.0,8.3,0.8,8.0,15.0,89.6,16.1,9.5,54.5,9.5,620,1.5,0.03,3.5×10⁻18,Negligible,0.5,100,26.0,14.0,20,Vertical,Parallel,1.08,2502,1.8,Fine RHA particles enhanced nanopore refinement,Enhanced amorphous silica hump,Dense silica-rich gel formation,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
STSC-POFA10,100,40,60,60,280,0,80,1240,193,10,0.29,100.0,34.0,0.0,14.0,8.3,0.8,8.0,15.0,88.8,15.8,9.3,54.0,9.3,640,1.6,0.04,3.7×10⁻18,Negligible,0.6,99,26.0,14.0,20,Vertical,Parallel,1.09,2495,1.9,Secondary geopolymer products improved matrix cohesion,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
BFRC-CON,320,80,25,0,60,0,0,1250,205,8,0.34,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,46.5,6.2,3.8,28.5,2.9,1750,4.5,0.14,1.25×10⁻17,Low,4.2,93,20.0,12.0,24,Vertical,Parallel,1.22,2235,4.8,Layered matrix with visible interlayer voids and moderate fiber clustering,Dominant calcium silicate hydration phases,Moderate silica bonding,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
BFRC-PP0.25,300,80,25,0,80,0,0,1250,200,8,0.33,0.0,0.0,0.0,0.0,6.6,0.25,2.5,10.0,58.8,8.7,5.2,36.2,4.5,1360,3.5,0.1,9.0×10⁻18,Very Low,2.8,96,22.0,12.0,24,Vertical,Parallel,1.18,2312,3.8,Improved fiber bridging and reduced pore connectivity,Increased amorphous phases,Enhanced silica polymerization,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
BFRC-PP0.50,280,60,45,0,100,0,0,1250,196,10,0.32,0.0,0.0,0.0,0.0,7.2,0.5,5.0,12.0,72.6,11.8,7.0,45.0,6.5,980,2.5,0.07,6.0×10⁻18,Very Low,1.6,98,24.0,14.0,22,Vertical,Parallel,1.14,2398,2.9,Dense matrix with improved basalt fiber orientation,Reduced crystalline phases,Dense geopolymeric gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
BFRC-PP0.75,260,40,65,0,120,0,0,1250,192,10,0.31,0.0,0.0,0.0,0.0,7.8,0.75,7.5,15.0,86.8,15.0,8.9,53.6,8.8,690,1.8,0.04,4.0×10⁻18,Negligible,0.8,99,26.0,14.0,22,Vertical,Parallel,1.1,2486,2.1,Compact microstructure with strong fiber–matrix adhesion,Strong hybrid hydration phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
BFRC-PP1.00,240,20,85,0,140,0,0,1250,188,10,0.3,0.0,0.0,0.0,0.0,8.4,1.0,10.0,18.0,101.5,18.8,11.2,63.2,11.4,480,1.1,0.02,2.7×10⁻18,Negligible,0.2,100,28.0,16.0,20,Vertical,Parallel,1.06,2575,1.4,Highly dense structure with minimal microcracks and aligned fibers,Strong amorphous gel structure,Stable silica-rich gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
BFRC-RHA10,240,0,65,0,120,80,0,1250,190,10,0.3,0.0,0.0,0.0,0.0,8.1,0.8,8.0,15.0,97.2,17.8,10.5,59.8,10.6,550,1.3,0.03,3.0×10⁻18,Negligible,0.4,100,26.0,14.0,20,Vertical,Parallel,1.07,2542,1.6,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel formation,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
BFRC-POFA10,240,0,65,0,120,0,80,1250,191,10,0.3,0.0,0.0,0.0,0.0,8.1,0.8,8.0,15.0,96.4,17.5,10.3,59.2,10.4,570,1.4,0.03,3.2×10⁻18,Negligible,0.5,99,26.0,14.0,20,Vertical,Parallel,1.08,2535,1.7,Secondary reaction products improved matrix cohesion,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
TSR-CON,340,60,30,0,80,0,0,1220,210,8,0.35,0.0,0.0,0.0,0.0,6.5,0.0,0.0,,52.8,7.2,4.3,31.8,3.2,1620,4.2,0.13,1.10×10⁻17,Low,3.8,94,22.0,12.0,24,Vertical,Parallel,1.24,2280,4.3,Layered microstructure with moderate interfacial voids,Dominant calcium silicate hydration phases,Moderate silica bonding,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
TSR-PP0.25,320,60,30,0,100,0,0,1220,205,8,0.34,0.0,0.0,0.0,0.0,7.0,0.25,2.5,10.0,66.4,10.0,5.9,40.2,5.0,1240,3.2,0.09,7.8×10⁻18,Very Low,2.3,97,24.0,12.0,24,Vertical,Parallel,1.19,2362,3.4,Improved fiber bridging and reduced crack propagation,Increased amorphous phases,Enhanced silica polymerization,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
TSR-PP0.50,300,40,50,0,120,0,0,1220,200,10,0.33,0.0,0.0,0.0,0.0,7.6,0.5,5.0,12.0,81.2,13.5,8.0,49.5,7.2,890,2.2,0.06,5.2×10⁻18,Very Low,1.2,99,26.0,14.0,22,Vertical,Parallel,1.15,2455,2.5,Dense matrix with improved two-scale steel fiber orientation,Reduced crystalline phases,Dense hydration gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
TSR-PP0.75,280,20,70,0,140,0,0,1220,196,10,0.32,0.0,0.0,0.0,0.0,8.2,0.75,7.5,15.0,96.0,17.2,10.1,58.8,9.6,610,1.5,0.03,3.4×10⁻18,Negligible,0.5,100,28.0,14.0,22,Vertical,Parallel,1.11,2546,1.8,Compact matrix with strong interfacial transition zone,Strong hybrid hydration phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
TSR-PP1.00,260,0,90,0,160,0,0,1220,192,10,0.31,0.0,0.0,0.0,0.0,8.8,1.0,10.0,18.0,111.6,21.0,12.5,69.2,12.4,430,0.9,0.02,2.2×10⁻18,Negligible,0.1,100,30.0,16.0,20,Vertical,Parallel,1.07,2640,1.2,Highly dense structure with minimal microcracks and excellent fiber anchorage,Strong amorphous gel structure,Stable silica-rich gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
TSR-RHA10,260,0,70,0,140,80,0,1220,194,10,0.31,0.0,0.0,0.0,0.0,8.5,0.8,8.0,15.0,107.0,19.8,11.7,65.5,11.5,500,1.1,0.02,2.5×10⁻18,Negligible,0.3,100,28.0,14.0,20,Vertical,Parallel,1.08,2608,1.4,Fine RHA particles enhanced nanopore refinement,Enhanced amorphous silica hump,Dense silica-rich gel formation,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
TSR-POFA10,260,0,70,0,140,0,80,1220,195,10,0.31,0.0,0.0,0.0,0.0,8.5,0.8,8.0,15.0,106.2,19.5,11.5,65.0,11.3,520,1.2,0.03,2.7×10⁻18,Negligible,0.4,99,28.0,14.0,20,Vertical,Parallel,1.09,2600,1.5,Secondary reaction products improved matrix cohesion,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
WPF-CON,340,60,25,0,80,0,0,1210,208,8,0.35,0.0,0.0,0.0,0.0,6.4,0.0,0.0,,44.6,6.0,3.6,27.2,2.8,1680,4.4,0.13,1.18×10⁻17,Low,3.9,94,22.0,12.0,24,Vertical,Parallel,1.23,2240,4.5,Layered cavity structure with moderate pore connectivity,Dominant cement hydration phases,Moderate silica bonding,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
WPF-PP0.25,320,60,25,0,100,0,0,1210,203,8,0.34,0.0,0.0,0.0,0.0,7.0,0.25,2.5,10.0,57.5,8.5,5.0,35.4,4.4,1290,3.3,0.09,8.2×10⁻18,Very Low,2.5,97,24.0,12.0,24,Vertical,Parallel,1.18,2322,3.5,Improved fiber bridging and reduced cavity wall cracking,Increased amorphous phases,Enhanced silica polymerization,40,14,Mild heat curing at 40°C,Controlled chamber curing,Balanced,0.15,0.15,Standard scaling,Yes,PCA
WPF-PP0.50,300,40,45,0,120,0,0,1210,198,10,0.33,0.0,0.0,0.0,0.0,7.6,0.5,5.0,12.0,71.8,11.6,6.9,44.2,6.4,920,2.3,0.06,5.5×10⁻18,Very Low,1.3,99,26.0,14.0,22,Vertical,Parallel,1.14,2415,2.6,Dense matrix with better waste plastic fiber distribution,Reduced crystalline phases,Dense hydration gel formation,60,7,Heat curing at 60°C,Oven heat curing,Balanced,0.15,0.15,Standard scaling,Yes,Recursive feature elimination
WPF-PP0.75,280,20,65,0,140,0,0,1210,194,10,0.32,0.0,0.0,0.0,0.0,8.2,0.75,7.5,15.0,86.2,14.8,8.8,53.0,8.7,640,1.6,0.04,3.6×10⁻18,Negligible,0.6,100,28.0,14.0,22,Vertical,Parallel,1.1,2508,1.9,Compact microstructure with strong fiber–matrix adhesion,Strong hybrid hydration phases,Highly polymerized silica bands,70,5,Heat curing at 70°C,Steam-assisted curing,Balanced,0.15,0.15,Standard scaling,Yes,Random forest importance
WPF-PP1.00,260,0,85,0,160,0,0,1210,190,10,0.31,0.0,0.0,0.0,0.0,8.8,1.0,10.0,18.0,101.0,18.4,11.0,62.5,11.2,450,1.0,0.02,2.3×10⁻18,Negligible,0.2,100,30.0,16.0,20,Vertical,Parallel,1.06,2602,1.3,Highly dense cavity walls with minimal microcracks,Strong amorphous gel structure,Stable silica-rich gel,80,3,Heat curing at 80°C,Steam-assisted curing,Balanced,0.15,0.15,Min-Max normalization,Yes,SHAP-based feature ranking
WPF-RHA10,260,0,65,0,140,80,0,1210,192,10,0.31,0.0,0.0,0.0,0.0,8.5,0.8,8.0,15.0,96.6,17.4,10.2,58.8,10.4,520,1.2,0.02,2.6×10⁻18,Negligible,0.3,100,28.0,14.0,20,Vertical,Parallel,1.07,2570,1.5,Fine RHA particles refined nanopore structure,Enhanced amorphous silica hump,Dense silica-rich gel formation,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Correlation-based
WPF-POFA10,260,0,65,0,140,0,80,1210,193,10,0.31,0.0,0.0,0.0,0.0,8.5,0.8,8.0,15.0,95.8,17.1,10.0,58.2,10.2,540,1.3,0.03,2.8×10⁻18,Negligible,0.4,99,28.0,14.0,20,Vertical,Parallel,1.08,2562,1.6,Secondary reaction products improved matrix cohesion,Increased hydration products,Stable geopolymeric structure,80,3,Heat curing at 80°C,Oven heat curing,Balanced,0.15,0.15,Min-Max normalization,Yes,Random forest importance
